SYMPTOM_ID,SYMPTOM_NAME
0,Cardiac vein dissection
1,Vaccination site fibrosis
2,Blood bicarbonate decreased
3,Judgement impaired
4,Sinus node dysfunction
5,Douglas' abscess
6,Arteriogram coronary abnormal
7,Scrotal exploration
8,Hepatitis B virus
9,Ectopic pregnancy
10,HELLP syndrome
11,Epinephrine increased
12,Skin cyst excision
13,Renin-angiotensin system inhibition
14,Scrub typhus
15,Follicular eczema
16,Pyramidal tract syndrome
17,Gastrointestinal neuroendocrine carcinoma
18,Reproductive tract disorder
19,Endotracheal intubation complication
20,Cardiac ventricular scarring
21,Meningeal disorder
22,Complement factor C1
23,Magnetic resonance imaging brain
24,Peripheral swelling
25,Gastric operation
26,Cardiac steatosis
27,Carotid pulse abnormal
28,Medication error
29,Disease susceptibility
30,Orthopedic examination normal
31,Oral administration complication
32,Renal abscess
33,Scrotal swelling
34,JC virus test positive
35,Limb deformity
36,Human anaplasmosis
37,Prescription drug used without a prescription
38,Hypoferritinaemia
39,Product identification number issue
40,Congenital neurological degeneration
41,Pachymeningitis
42,Cytokine release syndrome
43,Suppressed lactation
44,Perforation
45,Cow pox
46,Carotid revascularisation
47,Blast crisis in myelogenous leukaemia
48,Pseudoangina
49,Chvostek's sign
50,Epiphyses delayed fusion
51,Coagulation test
52,Pingueculitis
53,Cellulitis pharyngeal
54,Tongue disorder
55,Joint surgery
56,Motor neurone disease
57,White blood cell count decreased
58,Immediate post-injection reaction
59,Cone dystrophy
60,Chronic kidney disease
61,Uterine haemorrhage
62,Infertility tests normal
63,Marfan's syndrome
64,Blood amino acid level normal
65,Urine phosphate decreased
66,Cataract operation complication
67,Syncope
68,Mean platelet volume normal
69,AST/ALT ratio
70,Urine cytology
71,Cardiac assistance device user
72,Nephrectomy
73,Lipodystrophy acquired
74,Elastofibroma
75,Middle lobe syndrome
76,Biliary dyskinesia
77,Necrosis of artery
78,Transferrin saturation increased
79,Bacillus bacteraemia
80,Hypotonic-hyporesponsive episode
81,Metastatic renal cell carcinoma
82,Lipoprotein (a) increased
83,Paraneoplastic myelopathy
84,Fructose intolerance
85,Chlamydia serology negative
86,Living in residential institution
87,Unemployment
88,Piloerection
89,Cerebral capillary telangiectasia
90,Blood thrombin increased
91,Abnormal labour
92,Peritoneal lesion
93,Blood growth hormone abnormal
94,Incisional hernia
95,Beta 2 microglobulin urine normal
96,Drain of cerebral subdural space
97,Night sweats
98,Hodgkin's disease mixed cellularity stage unspecified
99,Mixed incontinence
100,Influenza virus test positive
101,Fractured skull depressed
102,Atrial flutter
103,Biopsy endometrium normal
104,Arteriogram
105,Spinal column stenosis
106,Lung consolidation
107,Blood electrolytes increased
108,BK virus infection
109,Biopsy endometrium
110,Myoglobinuria
111,Left atrial enlargement
112,Faecal elastase concentration abnormal
113,Breast conserving surgery
114,Biopsy fallopian tube normal
115,Human herpesvirus 6 encephalitis
116,Anti-erythropoietin antibody positive
117,Male genital tract smear
118,Cancer cells present
119,Protein S deficiency
120,Kaolin cephalin clotting time normal
121,Dyschromatopsia
122,Lung neoplasm surgery
123,Neoplasm
124,Parasomnia
125,Apnoea test abnormal
126,"Follicle centre lymphoma, follicular grade I, II, III"
127,False positive laboratory result
128,Endocrine test normal
129,Anti-VGKC antibody positive
130,Dependence
131,Alanine aminotransferase decreased
132,Pseudoporphyria
133,Wall motion score index abnormal
134,Anti-interferon antibody negative
135,Device use issue
136,Cerebrovascular stenosis
137,Azotaemia
138,Spinal stroke
139,Traumatic tooth displacement
140,Gastroenteritis enteroviral
141,Product prescribing issue
142,Columbia suicide severity rating scale
143,Ultrasound pelvis
144,Overwork
145,Erosive oesophagitis
146,Cryptococcal cutaneous infection
147,Discoloured vomit
148,Brain stem haemorrhage
149,Rash maculo-papular
150,Furuncle
151,Retinal fovea disorder
152,Lip oedema
153,Osteoporosis postmenopausal
154,Prostatic specific antigen decreased
155,Blood smear test abnormal
156,Sinus headache
157,Stoma care
158,Drug screen
159,Barbiturates negative
160,Deaf mutism
161,Inner ear operation
162,Gastroenteritis shigella
163,Alpha 2 globulin
164,Breast malformation
165,Immune agglutinins
166,Scrotal erythema
167,Tethered cord syndrome
168,Nasal septum deviation
169,Temperature perception test decreased
170,Alcohol test
171,Monocyte percentage decreased
172,Refeeding syndrome
173,Peritoneal perforation
174,Drug withdrawal maintenance therapy
175,Malignant neoplasm progression
176,Polydactyly
177,Anticoagulation drug level
178,Blood erythropoietin
179,Alpha 1 foetoprotein amniotic fluid
180,Pericardial cyst resection
181,Secondary syphilis
182,Steatorrhoea
183,Blood alcohol decreased
184,Libido increased
185,Noninfective sialoadenitis
186,Gun shot wound
187,Subarachnoid haemorrhage
188,Respiratory failure
189,Genital burning sensation
190,Rotator cuff syndrome
191,Carbohydrate intolerance
192,Homans' sign negative
193,LDL/HDL ratio decreased
194,Neuroendocrine tumour of the rectum
195,Eyelid skin dryness
196,Nail matrix biopsy
197,Genital erosion
198,Melkersson-Rosenthal syndrome
199,Hyposmia
200,Fixed bowel loop
201,Otitis media bacterial
202,Vaccination site anaesthesia
203,Macular pseudohole
204,Dementia Alzheimer's type
205,Cervicobrachial syndrome
206,Herpes simplex serology positive
207,Platelet factor 4 increased
208,21-hydroxylase deficiency
209,Anorectal varices
210,Coombs indirect test negative
211,Coombs direct test negative
212,Blood triglycerides
213,Bone graft
214,Diverticulum oesophageal
215,Encephalomyelitis
216,Nail discolouration
217,Developmental regression
218,Full blood count increased
219,Thymus hypertrophy
220,Laryngoscopy abnormal
221,Endoscopy
222,Acquired antithrombin III deficiency
223,Stool reducing substances increased
224,Seborrhoea
225,Toxic encephalopathy
226,Alpha tumour necrosis factor increased
227,Restlessness
228,Diarrhoea neonatal
229,Calcium ionised decreased
230,Preauricular cyst
231,Onychomadesis
232,Dermal filler overcorrection
233,Amniotic fluid volume decreased
234,Alpha 2 globulin normal
235,Total bile acids
236,Bile output
237,Abscess bacterial
238,Dacryoadenitis acquired
239,Punctal plug insertion
240,Positive expiratory pressure therapy
241,Aortic bypass
242,Ejection fraction abnormal
243,Intra-aortic balloon placement
244,Muscle spasticity
245,Cervix carcinoma recurrent
246,Autism spectrum disorder
247,Thyroid dermatopathy
248,Toe operation
249,Non-Hodgkin's lymphoma recurrent
250,Seronegative arthritis
251,Blood beryllium increased
252,Testicular oedema
253,B-lymphocyte count abnormal
254,Immature respiratory system
255,Similar reaction on previous exposure to drug
256,Coagulation factor X level decreased
257,Ultrasound thyroid
258,Haptoglobin increased
259,Blood lactate dehydrogenase normal
260,Myofascitis
261,Pyogenic granuloma
262,Drug trough level
263,Thyroxine free
264,Orthostatic hypotension
265,Pyelonephritis acute
266,Diabetic nephropathy
267,Myelolipoma
268,Blood sodium increased
269,Troponin normal
270,Thoracic radiculopathy
271,Compression garment application
272,Plasmacytosis
273,Tracheal dilation procedure
274,"Hallucination, visual"
275,Red blood cell sedimentation rate
276,Diverticulum
277,Spinal myelogram normal
278,Radiation dysphagia
279,Canavan disease
280,Macular cyst
281,Mental disorder
282,Vestibular function test abnormal
283,Administration site odour
284,Central venous catheter removal
285,Decompression sickness
286,Small intestinal haemorrhage
287,Retinal melanocytoma
288,Angiokeratoma
289,Vein collapse
290,Hypochloraemia
291,Urine uric acid increased
292,Body height below normal
293,Injection site rash
294,Chronic hepatitis C
295,Fms-like tyrosine kinase 3 positive
296,Ureteric stenosis
297,Fear of open spaces
298,Exposure to radiation
299,Cerebellar haematoma
300,Abscess soft tissue
301,Lens disorder
302,Alpha 1 foetoprotein abnormal
303,Electrocardiogram T wave amplitude decreased
304,Hysterosalpingo-oophorectomy
305,Salmonella sepsis
306,Leprosy
307,Blood calcium abnormal
